Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Ven Bailalo - Reggaeton Mix,Angel Y Khriz,0.675,0.919,0.0366,0.0606,0.00653,0.103,0.726
No Me Dejes Solo,"Daddy Yankee,Wisin & Yandel",0.787,0.835,0.0614,0.0772,0.000112,0.0712,0.78
Cuéntale,Don Omar,0.657,0.933,0.181,0.17,0.000137,0.204,0.637
"Lo Que Pasó, Pasó",Daddy Yankee,0.819,0.741,0.0412,0.104,0.0,0.283,0.84
Abusadora,Wisin & Yandel,0.775,0.786,0.0503,0.0419,0.000411,0.0875,0.19
Zun Da Da,Zion,0.782,0.767,0.0871,0.266,3.64e-05,0.0947,0.622
No Pares,Zion & Lennox,0.751,0.921,0.0611,0.0923,7.08e-05,0.17,0.778
Dueño,Omega,0.763,0.928,0.22,0.161,2.78e-06,0.0554,0.857
Estoy Enamorado,Omega,0.85,0.647,0.054,0.678,0.0405,0.117,0.826
Dime Que Sera (feat. Cruzito),"R.K.M & Ken-Y,Cruzito",0.721,0.764,0.0769,0.205,0.0,0.439,0.516
Tempted To Touch,Rupee,0.82,0.826,0.0546,0.061,0.0,0.0904,0.939
"Shorty, Shorty",Xtreme,0.745,0.701,0.0303,0.153,0.0,0.169,0.952
Te Extraño - Bachata Version,Xtreme,0.795,0.605,0.0333,0.786,0.0,0.0877,0.903
Que Lloren,Ivy Queen,0.819,0.707,0.183,0.242,0.0,0.506,0.777
Down (Remix),"R.K.M & Ken-Y,Ken-Y",0.849,0.745,0.157,0.652,0.000339,0.164,0.835
Mayor Que Yo 3,"Luny Tunes,Daddy Yankee,Don Omar,Wisin & Yandel",0.715,0.964,0.162,0.0985,0.0,0.291,0.535
Obsesion (No Es Amor) (feat. Baby Bash),"Frankie J,Baby Bash",0.618,0.505,0.0549,0.0851,0.0,0.325,0.559
Igual Que Ayer,R.K.M & Ken-Y,0.788,0.735,0.0433,0.0225,0.0,0.0427,0.399
Me Pones en Tensión,"The Noise,Zion & Lennox",0.877,0.768,0.0593,0.0376,1.01e-06,0.0491,0.856
Te Hago el Amor,"Alex Gargolas,Zion & Lennox",0.74,0.85,0.058,0.485,6.3e-06,0.453,0.627
No Se De Ella My Space,Don Omar,0.815,0.676,0.0934,0.231,0.0237,0.242,0.77
Fantasma,Zion,0.633,0.689,0.126,0.0556,0.0,0.533,0.784
Sola,Héctor El Father,0.759,0.654,0.181,0.3,0.0,0.648,0.486
Me Estas Tentando,Wisin & Yandel,0.814,0.92,0.0551,0.279,6.64e-06,0.329,0.767
Mala Conducta (feat. Franco El Gorila),"Alexis y Fido,Franco El Gorilla",0.711,0.841,0.0917,0.231,9.85e-05,0.191,0.964
Perdóname,"La Factoria,Eddy Lover",0.67,0.821,0.0334,0.251,0.0,0.199,0.384
La Vida Es Así,Ivy Queen,0.705,0.8,0.123,0.0474,1.5e-06,0.448,0.48
Te Quiero,Flex,0.536,0.598,0.0424,0.00314,0.0,0.319,0.465
More,"Zion,Jory Boy,Ken-Y",0.687,0.778,0.101,0.209,0.0,0.117,0.865
Hace Mucho Tiempo,Arcángel,0.687,0.782,0.072,0.629,3.15e-05,0.106,0.72
Candy,Plan B,0.9,0.858,0.112,0.275,0.0,0.56,0.592
Alocate,Zion,0.793,0.868,0.055,0.0247,1.76e-06,0.271,0.756
MySpace (feat. Wisin & Yandel),"Don Omar,Wisin,Yandel",0.841,0.799,0.189,0.0698,5.72e-06,0.0889,0.74
Mi Fanatica,De La Ghetto,0.875,0.691,0.114,0.0446,0.00326,0.219,0.612
Dile,Don Omar,0.822,0.744,0.094,0.173,7.03e-05,0.0692,0.747
La Pregunta,J Alvarez,0.739,0.643,0.151,0.0706,0.0,0.0789,0.831
Regalame Una Noche,"J Alvarez,Arcángel",0.717,0.636,0.0356,0.263,0.0,0.328,0.675
Porque Me Tratas Así?,Wisin & Yandel,0.787,0.559,0.0461,0.15,0.0,0.0936,0.519
La Mala,Ivy Queen,0.772,0.924,0.0758,0.398,1.15e-05,0.0836,0.653
Dime,Ivy Queen,0.706,0.842,0.078,0.338,0.0,0.357,0.798
Tuya Soy,Ivy Queen,0.796,0.875,0.115,0.1,4.36e-05,0.252,0.76
Pose,Daddy Yankee,0.806,0.887,0.0909,0.0407,2.03e-05,0.364,0.443
Chulería en Pote,"Farruko,Jadiel",0.702,0.856,0.0428,0.115,6.37e-05,0.222,0.856
"Uy, Uy, Uy","Wisin & Yandel,O'neil,Franco El Gorilla",0.769,0.794,0.171,0.0157,8.32e-05,0.34,0.291
Un Beso,Baby Rasta y Gringo,0.824,0.699,0.0987,0.243,5.9e-06,0.264,0.786
Deja Que Hable el Dembow,"Tempo,Wisin & Yandel",0.848,0.812,0.198,0.337,0.0,0.14,0.753
Aqui Esta Tu Caldo,Daddy Yankee,0.887,0.747,0.0973,0.119,0.000157,0.129,0.779
No Le Temas A Él (feat. Héctor El Father & Tito El Bambino),"Trebol Clan,Héctor El Father,Tito El Bambino",0.65,0.685,0.047,0.0574,0.000114,0.584,0.363
Donde Estan las Gatas,"Alex Gargolas,Daddy Yankee,Nicky Jam",0.827,0.788,0.0831,0.246,0.0,0.0764,0.815
El Tiburon,"Alexis y Fido,Baby Ranks",0.88,0.839,0.102,0.14,1.43e-05,0.0981,0.512
Guasa Guasa (feat. Voltio),"Tego Calderón,Voltio",0.845,0.821,0.0682,0.219,1.17e-05,0.131,0.706
Mírala Bien,Wisin & Yandel,0.817,0.849,0.13,0.256,0.0,0.0696,0.711
A Ti No,Yaga & Mackie,0.847,0.844,0.0564,0.00803,0.000144,0.0729,0.849
Hasta Abajo,Don Omar,0.697,0.919,0.0791,0.432,0.0208,0.0882,0.684
Bandida,Zion & Lennox,0.807,0.781,0.158,0.0784,0.0,0.105,0.536
Te Siento,Wisin & Yandel,0.711,0.86,0.0412,0.015,0.0,0.383,0.402
Nadie Como Tu,"Wisin & Yandel,Don Omar",0.81,0.723,0.194,0.409,0.0,0.137,0.738
Me Quiere Besar,Alexis y Fido,0.792,0.814,0.0706,0.143,0.0,0.302,0.847
Dembow,Wisin & Yandel,0.735,0.809,0.119,0.29,0.0,0.124,0.875
Yo Te Quiero,Wisin & Yandel,0.832,0.675,0.282,0.591,0.0,0.137,0.786
Bonita,Arcángel,0.81,0.484,0.0663,0.358,1.34e-05,0.155,0.88
Envuelvete,Tony Dize,0.731,0.824,0.0852,0.412,2.07e-06,0.352,0.866
Sacala,"Daddy Yankee,Don Omar,Héctor El Father,Tego Calderón,Julio Voltio,Wisin & Yandel,Zion",0.616,0.655,0.312,0.218,4.08e-05,0.122,0.447
Te Hago El Amor,Zion & Lennox,0.731,0.843,0.0524,0.464,2.31e-05,0.559,0.662
Química Sustancia,"Arcángel,Don Omar",0.766,0.505,0.0932,0.0272,0.00155,0.762,0.438
Me Desvelo,Zion & Lennox,0.723,0.89,0.12,0.242,3.29e-06,0.117,0.558
Noche De Entierro,"Daddy Yankee,Wisin & Yandel,Zion,Hector,Tonny Tun Tun",0.868,0.764,0.167,0.119,0.00143,0.0918,0.397
¿por Que Te Demoras?,Plan B,0.895,0.792,0.0769,0.0386,0.0,0.0547,0.941
El Carnaval,Baby Rasta y Gringo,0.803,0.592,0.0633,0.0041,0.00104,0.174,0.713
Déjale Caer To' El Peso (feat. Yomo),"Héctor El Father,Yomo",0.846,0.619,0.216,0.124,0.0,0.0748,0.75
Mirame,"Daddy Yankee,Deevani",0.816,0.8,0.179,0.189,0.0,0.255,0.696
No Se Si Fue,Arcángel,0.855,0.536,0.0891,0.331,0.000711,0.0833,0.794
Solo Una Noche,Wisin & Yandel,0.823,0.648,0.0979,0.103,0.0,0.0668,0.547
Sensacion Del Bloque,"De La Ghetto,Randy",0.709,0.726,0.0411,0.0977,0.0,0.301,0.405
Angelito,Don Omar,0.626,0.661,0.0447,0.199,0.0,0.17,0.312
Piel Canela,Arcángel,0.763,0.704,0.0938,0.359,0.00105,0.179,0.505
Baila Morena - Live,Hector & Tito,0.804,0.54,0.0682,0.196,0.0,0.123,0.799
Fiel amiga,Daddy Yankee,0.809,0.578,0.0757,0.198,0.0,0.0891,0.875
Ven Conmigo,"Daddy Yankee,Prince Royce",0.781,0.843,0.0402,0.102,0.0,0.0657,0.711
Mia Completa,Zion & Lennox,0.795,0.868,0.0405,0.104,5.83e-05,0.0701,0.925
Softly,Clairo,0.759,0.436,0.0419,0.33,0.0113,0.102,0.782
Over the Moon,The Marías,0.684,0.232,0.0297,0.86,0.404,0.135,0.387
Sugar,Men I Trust,0.822,0.462,0.0365,0.645,0.313,0.14,0.8
Mice City,Hotel Ugly,0.558,0.455,0.0327,0.292,2.58e-06,0.104,0.301
Heavy,The Marías,0.76,0.413,0.0307,0.326,0.745,0.0601,0.733
Bleed (feat. Omar Apollo),"Malcolm Todd,Omar Apollo",0.726,0.574,0.0297,0.00296,0.00465,0.396,0.509
Back To Me,The Marías,0.456,0.488,0.0275,0.469,0.0326,0.123,0.244
Nobody New,The Marías,0.648,0.462,0.0258,0.897,0.193,0.117,0.48
Numb,Men I Trust,0.783,0.303,0.0527,0.811,0.945,0.109,0.65
I Hope to Be Around,Men I Trust,0.821,0.384,0.0388,0.78,0.00138,0.11,0.79
In A Good Way,Faye Webster,0.587,0.286,0.0315,0.185,0.0288,0.214,0.302
Bumbum Granada,Mc's Zaac & Jerry Smith,0.965,0.811,0.134,0.314,0.000148,0.187,0.161
Sim ou não (Participação especial de Maluma),"Anitta,Maluma",0.818,0.84,0.092,0.433,1.16e-06,0.114,0.889
Rabiola,MC Kevinho,0.748,0.499,0.122,0.149,0.0,0.164,0.686
