Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Bum Bum Tam Tam,"MC Fioti,Future,J Balvin,Stefflon Don,Juan Magán",0.896,0.675,0.124,0.346,8.11e-06,0.262,0.659
Candy,Plan B,0.897,0.864,0.147,0.252,0.0,0.517,0.542
La Mamá de la Mamá (feat. El Cherry Scom),"El Alfa,CJ,Chael Produciendo,El Cherry Scom",0.922,0.927,0.105,0.283,0.00331,0.719,0.796
Gasolina,Daddy Yankee,0.852,0.797,0.0614,0.322,2.69e-06,0.0845,0.741
"Lo Que Paso, Paso",Daddy Yankee,0.823,0.74,0.0391,0.108,0.0,0.335,0.837
23 (With Ape Drums),"Randy,Ape Drums",0.828,0.724,0.0715,0.0424,1.68e-06,0.468,0.896
Monastery,"Ryan Castro,Feid",0.811,0.5,0.0976,0.104,0.0,0.372,0.789
Propuesta Indecente,Romeo Santos,0.757,0.632,0.0549,0.499,0.0,0.0723,0.742
Darte un Beso,Prince Royce,0.757,0.711,0.0349,0.36,0.0,0.121,0.817
La rebelion,Joe Arroyo,0.571,0.755,0.0735,0.142,2.55e-05,0.136,0.875
Fanática Sensual,Plan B,0.793,0.853,0.0477,0.0937,0.0,0.085,0.906
Hasta el Amanecer,Nicky Jam,0.831,0.609,0.0384,0.282,0.0,0.0761,0.589
Te Boté - Remix,"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",0.903,0.675,0.214,0.542,1.28e-05,0.0595,0.442
Si No Le Contesto,Plan B,0.846,0.747,0.0533,0.0947,0.0,0.159,0.517
Soltera (Remix),"Lunay,Daddy Yankee,Bad Bunny",0.795,0.783,0.0432,0.361,0.0,0.437,0.799
El Perdedor,Maluma,0.702,0.73,0.099,0.425,1.25e-06,0.148,0.879
Gyal You A Party Animal - Remix,"Charly Black,Daddy Yankee",0.729,0.894,0.0798,0.0612,0.0,0.36,0.757
La Romana,"Bad Bunny,El Alfa",0.654,0.726,0.194,0.0328,0.0027,0.06,0.33
No Me Conoce - Remix,"JHAYCO,J Balvin,Bad Bunny",0.806,0.786,0.0741,0.145,0.0,0.0935,0.58
LA CANCIÓN,"J Balvin,Bad Bunny",0.756,0.646,0.319,0.152,1.81e-05,0.108,0.429
Con Calma,"Daddy Yankee,Snow",0.737,0.86,0.0593,0.11,1.94e-06,0.0574,0.656
25/8,Bad Bunny,0.761,0.732,0.0549,0.092,0.0,0.0716,0.542
Fiel,"Los Legendarios,Wisin,JHAYCO",0.849,0.701,0.06,0.407,0.0,0.112,0.505
Cuando Perriabas,Bad Bunny,0.738,0.703,0.0879,0.139,1.19e-06,0.111,0.502
Otro Trago - Remix,"Sech,Ozuna,Anuel AA,Darell,Nicky Jam",0.725,0.79,0.197,0.0711,1.14e-06,0.0602,0.763
Qué Más Pues?,"J Balvin,Maria Becerra",0.903,0.817,0.095,0.0272,0.000311,0.242,0.732
China,"Anuel AA,Daddy Yankee,KAROL G,Ozuna,J Balvin",0.786,0.808,0.0881,0.0846,0.000289,0.0822,0.608
La Santa,"Bad Bunny,Daddy Yankee",0.744,0.868,0.047,0.0326,0.0,0.0822,0.586
Ser Bichote,Bad Bunny,0.79,0.626,0.067,0.151,4.02e-06,0.195,0.179
Ley Seca,"JHAYCO,Anuel AA",0.759,0.842,0.096,0.101,0.0,0.134,0.584
LA FAMA (with The Weeknd),"ROSALÍA,The Weeknd",0.77,0.302,0.0466,0.946,3.38e-05,0.125,0.821
Hasta Que Dios Diga,"Anuel AA,Bad Bunny",0.691,0.765,0.111,0.464,3.29e-06,0.203,0.855
RUMBATÓN,Daddy Yankee,0.685,0.909,0.0396,0.0471,0.0,0.35,0.922
X ÚLTIMA VEZ,"Daddy Yankee,Bad Bunny",0.812,0.855,0.0554,0.0789,0.000167,0.108,0.573
AGUA,"Daddy Yankee,Rauw Alejandro,Nile Rodgers",0.834,0.68,0.0421,0.0495,2.61e-05,0.0751,0.32
TKN (feat. Travis Scott),"ROSALÍA,Travis Scott",0.776,0.509,0.467,0.192,1.49e-06,0.115,0.485
Sin Frenos,"Eladio Carrion,Bizarrap,Duki",0.657,0.702,0.0482,0.0723,0.0,0.188,0.75
Hielo,"Eladio Carrion,JHAYCO",0.694,0.638,0.0597,0.433,0.0,0.0879,0.622
Ella Me Levanto,Daddy Yankee,0.76,0.9,0.0668,0.0715,0.0,0.221,0.761
I Like It,"Cardi B,Bad Bunny,J Balvin",0.816,0.726,0.129,0.099,0.0,0.372,0.65
HOT,"Daddy Yankee,Pitbull",0.898,0.677,0.243,0.0223,0.0,0.35,0.578
BOMBÓN,"Daddy Yankee,El Alfa,Lil Jon",0.843,0.789,0.247,0.0028,2.41e-05,0.0322,0.571
Una Vaina Loca,Fuego,0.792,0.676,0.0546,0.172,1.93e-05,0.0654,0.712
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy,Bad Bunny,Julieta Venegas",0.639,0.703,0.0794,0.0889,1.78e-06,0.0865,0.138
Atrévete-Te-Te,Calle 13,0.829,0.878,0.101,0.0959,0.0,0.776,0.883
Hotel Room Service,Pitbull,0.851,0.629,0.175,0.00705,0.000372,0.0746,0.789
Fireball (feat. John Ryan),"Pitbull,John Ryan",0.761,0.933,0.056,0.0908,8.53e-05,0.0607,0.836
Caile,Tito El Bambino,0.896,0.789,0.0674,0.0856,1.61e-06,0.276,0.694
La Cumbia Tribalera,"El Pelón del Mikrophone,Edwin Luna y La Trakalosa de Monterrey,Grupo Violento",0.834,0.775,0.18,0.00694,2.42e-05,0.476,0.767
Cumbia Sampuesana,Aniceto Molina,0.756,0.671,0.0993,0.0346,0.0204,0.0225,0.967
Dile,Don Omar,0.822,0.713,0.122,0.186,0.00013,0.0431,0.714
El baile del Gorila,Massore,0.66,0.628,0.049,0.359,0.0823,0.344,0.954
Dile al Amor,Aventura,0.825,0.605,0.0376,0.0764,0.0,0.314,0.944
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",0.842,0.801,0.228,0.157,4.82e-06,0.0642,0.617
Cúrame,Rauw Alejandro,0.765,0.625,0.0548,0.584,0.00111,0.112,0.262
Sexo Virtual,Rauw Alejandro,0.704,0.739,0.112,0.328,1.93e-05,0.0856,0.425
"La Curiosidad (feat. Dj Nelson, JHAYCO, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler,Myke Towers,Rauw Alejandro,DJ Nelson,JHAYCO,Lunay,Kendo Kaponi",0.841,0.674,0.0962,0.104,0.0,0.131,0.761
El Incomprendido,"Farruko,Victor Cardenas,Dj Adoni",0.754,0.841,0.135,0.113,0.0,0.466,0.541
AM Remix,"Nio Garcia,J Balvin,Bad Bunny",0.743,0.655,0.159,0.114,0.0,0.0764,0.785
Culo,"Pitbull,Lil Jon",0.858,0.656,0.358,0.114,0.0,0.141,0.969
Rakata,Wisin & Yandel,0.872,0.786,0.142,0.0348,0.0,0.0776,0.722
El Carton,"Crazy Design,Bulin 47,Ceky Viciny",0.935,0.771,0.131,0.0413,0.00152,0.845,0.83
Yo Voy (feat. Daddy Yankee),Zion & Lennox,0.808,0.697,0.241,0.041,0.0,0.0546,0.554
Baila Baila Baila - Remix,"Ozuna,Daddy Yankee,J Balvin,Farruko,Anuel AA",0.785,0.572,0.123,0.0598,0.0,0.218,0.49
Dame Tu Amor,Alacranes Musical,0.641,0.867,0.0521,0.16,2.12e-06,0.282,0.795
Adiós Amor,Christian Nodal,0.433,0.431,0.0367,0.169,0.0,0.307,0.722
Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean",0.778,0.824,0.0707,0.284,0.0,0.405,0.758
Salió El Sol,Don Omar,0.887,0.701,0.0872,0.106,0.00948,0.0466,0.965
CÓMO SE SIENTE - Remix,"JHAYCO,Bad Bunny",0.807,0.606,0.088,0.0946,0.0,0.119,0.304
Tiroteo - Remix,"Marc Seguí,Rauw Alejandro,Pol Granch",0.75,0.522,0.0293,0.282,0.0,0.0743,0.601
Macarena x Material Girl,Sloowed,0.631,0.836,0.306,0.244,0.0,0.149,0.912
Instagram,Blessd,0.801,0.563,0.223,0.264,0.00115,0.192,0.967
Me Porto Bonito,"Bad Bunny,Chencho Corleone",0.911,0.712,0.0817,0.0901,2.68e-05,0.0933,0.425
El Amante,Nicky Jam,0.683,0.691,0.0432,0.241,0.0,0.14,0.732
LOKERA,"Rauw Alejandro,Lyanno,Brray",0.836,0.826,0.0461,0.213,6.03e-06,0.0814,0.579
Bichiyal,"Bad Bunny,Yaviah",0.737,0.766,0.0458,0.31,6.63e-06,0.114,0.662
Tití Me Preguntó,Bad Bunny,0.65,0.715,0.253,0.0993,0.000291,0.126,0.187
Rebota,Guaynaa,0.816,0.911,0.255,0.188,0.0,0.498,0.931
LUNA,"Feid,ATL Jacob",0.774,0.86,0.13,0.131,0.0,0.116,0.446
SE ME OLVIDA,"Maisak,Feid",0.786,0.707,0.0635,0.0399,0.0,0.121,0.691
AMARGURA,KAROL G,0.912,0.7,0.068,0.163,0.0,0.174,0.535
KLOuFRENS,Bad Bunny,0.326,0.125,0.148,0.703,0.706,0.18,0.306
Cosas Pendientes,Maluma,0.835,0.67,0.0562,0.261,0.0,0.185,0.78
Normal,Feid,0.712,0.557,0.115,0.0397,0.0,0.27,0.594
LA CANCIÓN,"J Balvin,Bad Bunny",0.756,0.646,0.319,0.152,1.81e-05,0.108,0.429
Nada,"Cazzu,Lyanno,Rauw Alejandro,Dalex",0.898,0.543,0.121,0.343,0.000623,0.338,0.359
Perdóname,"La Factoria,Eddy Lover",0.67,0.821,0.0334,0.251,0.0,0.199,0.384
Volando - Remix,"Mora,Bad Bunny,Sech",0.659,0.688,0.0673,0.207,0.0,0.113,0.632
Llori Pari,"Alvaro Diaz,Feid,Tainy",0.602,0.573,0.0518,0.282,0.0,0.0854,0.319
Dile a ÉL,Nicky Jam,0.767,0.684,0.0505,0.224,4.89e-06,0.122,0.717
Ferxxo 100,Feid,0.701,0.568,0.067,0.252,0.0,0.153,0.577
Un Verano Sin Ti,Bad Bunny,0.503,0.496,0.0556,0.693,0.0,0.123,0.412
Madrid,"Kidd Voodoo,Alvaro Diaz",0.597,0.822,0.0554,0.26,0.0,0.193,0.428
Sigue Bailandome,"Yannc,Darkiel,Eladio Carrion,Brray,Myke Towers",0.799,0.69,0.1,0.282,0.001,0.143,0.682
Inolvidable,"Ovy On The Drums,Beéle",0.84,0.543,0.0568,0.678,0.0,0.128,0.74
MAL DE AMORES,"Myke Towers,Junior H,The Rudeboyz",0.693,0.814,0.17,0.0318,1.54e-05,0.144,0.532
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy,Bad Bunny,Julieta Venegas",0.639,0.703,0.0794,0.0889,1.78e-06,0.0865,0.138
Sola (Remix),"Anuel AA,Daddy Yankee,Zion & Lennox,Farruko,Wisin",0.639,0.869,0.147,0.27,0.0,0.0802,0.767
Si Estuviésemos Juntos,Bad Bunny,0.672,0.595,0.079,0.0625,4.66e-05,0.157,0.159
SI TÚ SUPIERAS - Bonus Track,Feid,0.652,0.666,0.171,0.379,0.0,0.11,0.554
Cupido,TINI,0.913,0.584,0.223,0.521,5.36e-05,0.307,0.627
EL BARCO,KAROL G,0.85,0.849,0.0437,0.611,0.000193,0.329,0.92
Me Rehúso,Danny Ocean,0.744,0.804,0.0677,0.0231,0.0,0.0494,0.426
ULTRA SOLO REMIX,"Polimá Westcoast,Feid,Pailita,Paloma Mami,De La Ghetto",0.909,0.824,0.0797,0.0777,0.00387,0.0638,0.585
No Me Conoce - Remix,"JHAYCO,J Balvin,Bad Bunny",0.804,0.787,0.0746,0.14,0.0,0.0927,0.562
Hace Mucho Tiempo,Arcángel,0.687,0.782,0.072,0.629,3.15e-05,0.106,0.72
HACIENDO QUE ME AMAS,Bad Bunny,0.584,0.411,0.0838,0.869,4.47e-05,0.0955,0.412
La Pregunta,J Alvarez,0.739,0.643,0.15,0.0688,0.0,0.0789,0.834
Déjala Que Vuelva (feat. Manuel Turizo),"Piso 21,Manuel Turizo",0.681,0.788,0.0785,0.0482,0.0,0.0753,0.839
Tal Vez,Paulo Londra,0.849,0.655,0.106,0.266,0.0,0.0781,0.76
Ella Y Yo - Featuring Don Omar,"Aventura,Don Omar",0.732,0.708,0.262,0.534,0.0,0.237,0.717
Cuando Te Besé,"Becky G,Paulo Londra",0.772,0.732,0.213,0.307,5.14e-06,0.106,0.295
TUS LÁGRIMAS,"Mora,Sech",0.683,0.714,0.252,0.181,1e-06,0.111,0.448
Un Coco,Bad Bunny,0.839,0.69,0.0615,0.207,8.33e-06,0.176,0.744
Te Quería Ver,"Alemán,Neton Vega",0.802,0.761,0.0681,0.188,1.69e-05,0.0922,0.448
CORAZÓN VACÍO,Maria Becerra,0.681,0.792,0.0587,0.334,2.05e-06,0.295,0.4
Media Hora,Yan Block,0.825,0.609,0.217,0.224,6.88e-05,0.159,0.643
Llamado de Emergencia,Daddy Yankee,0.703,0.909,0.0358,0.216,1.57e-06,0.162,0.777
23 Preguntas,Anuel AA,0.777,0.594,0.153,0.416,3.84e-05,0.103,0.562
Pensándote,"Rauw Alejandro,Tainy",0.79,0.655,0.0762,0.464,0.00165,0.0837,0.56
No Te Deseo el Mal,"Eladio Carrion,KAROL G",0.886,0.482,0.175,0.396,0.0,0.115,0.568
TQG,"KAROL G,Shakira",0.587,0.647,0.327,0.619,0.0,0.106,0.686
Mis Ojos Lloran Por Ti,"Big Boy,Angel Lopez",0.794,0.831,0.331,0.0135,1.12e-06,0.11,0.328
1000CANCIONES,"Alvaro Diaz,Sen Senra",0.73,0.844,0.0471,0.319,1.18e-06,0.103,0.399
Te Busco,"Cosculluela,Nicky Jam",0.68,0.756,0.135,0.199,0.0,0.0947,0.753
Cuaderno,"Dalex,Nicky Jam,Justin Quiles,Sech,Lenny Tavárez,Feid,Rafa Pabön",0.681,0.648,0.38,0.523,0.0,0.104,0.688
REMIX EXCLUSIVO,Feid,0.651,0.557,0.204,0.0358,0.0,0.154,0.711
Oe Bebé,"Blessd,Maluma",0.751,0.739,0.0789,0.133,0.0,0.141,0.795
Sobrio,Maluma,0.762,0.77,0.223,0.138,0.0,0.15,0.631
Otra vez (feat. J Balvin),"Zion & Lennox,J Balvin",0.832,0.772,0.1,0.0559,0.000486,0.44,0.704
SHORTY QUE TE VAYA BN <3,Rels B,0.68,0.527,0.11,0.232,0.000402,0.115,0.192
Créeme,"KAROL G,Maluma",0.715,0.874,0.0548,0.126,0.000162,0.105,0.652
El Farsante,Ozuna,0.735,0.703,0.0611,0.2,0.0,0.259,0.323
DAME,"Quevedo,Omar Montes",0.742,0.508,0.0539,0.368,2.72e-05,0.115,0.31
Te Amo,"Piso 21,Paulo Londra",0.849,0.724,0.0665,0.0204,5.98e-06,0.235,0.63
Adan y Eva,Paulo Londra,0.767,0.709,0.336,0.323,0.0,0.0676,0.72
Verte Ir,"DJ Luian,Mambo Kingz,Anuel AA,Nicky Jam,Darell,Brytiago",0.857,0.647,0.0984,0.391,1.2e-06,0.0842,0.553
Hipócrita,"Anuel AA,Zion",0.79,0.858,0.0471,0.303,0.0,0.61,0.79
Hawái,Maluma,0.787,0.728,0.389,0.189,2.29e-05,0.0629,0.545
Sigues Con El,"Arcángel,Sech,Dímelo Flow",0.883,0.668,0.113,0.11,0.000529,0.0734,0.676
París,Ingratax,0.57,0.455,0.0996,0.441,0.000746,0.0654,0.399
DISPO,"KAROL G,Young Miko",0.842,0.626,0.0472,0.435,0.0,0.127,0.621
ULTRA SOLO,"Polimá Westcoast,Pailita",0.802,0.846,0.207,0.233,1.92e-05,0.114,0.26
Tú Foto,Ozuna,0.748,0.565,0.0476,0.164,0.00169,0.103,0.812
Los Cachos,"Piso 21,Manuel Turizo",0.774,0.73,0.134,0.108,0.0,0.194,0.421
Sigo Extrañándote,J Balvin,0.896,0.859,0.21,0.154,0.000109,0.212,0.938
FDSR,"Ryan Castro,Maisak",0.798,0.656,0.181,0.0163,9.39e-06,0.0917,0.658
Traicionera,Sebastian Yatra,0.775,0.679,0.0465,0.147,0.0,0.155,0.675
Pobre Diabla,Don Omar,0.734,0.741,0.0626,0.43,0.0185,0.0693,0.838
Imaginate,"Rich Music LTD,Sech,Dalex,Justin Quiles,Lenny Tavárez,Feid,Cazzu",0.691,0.751,0.228,0.316,0.0,0.0808,0.672
Bella y Sensual,"Romeo Santos,Daddy Yankee,Nicky Jam",0.635,0.713,0.0937,0.228,0.0,0.0506,0.749
Quizas - Remix,"Tony Dize,Ken-Y,Marioso",0.787,0.679,0.0658,0.416,0.0,0.15,0.875
Miss Lonely - Dimelo Flow Remix,"Sech,Justin Quiles,De La Ghetto,Dímelo Flow",0.651,0.711,0.164,0.176,0.0,0.024,0.719
Vaina Loca,"Ozuna,Manuel Turizo",0.754,0.805,0.0752,0.315,0.0,0.203,0.555
Mi Error,"Eladio Carrion,Zion",0.565,0.629,0.0595,0.37,0.0,0.217,0.344
11 PM,Maluma,0.777,0.712,0.277,0.217,0.0,0.091,0.68
Weeknd<3,legallyrxx,0.759,0.479,0.0629,0.702,0.0,0.105,0.373
Egoísta,Justin Quiles,0.526,0.809,0.389,0.0353,0.0,0.504,0.435
911,Sech,0.795,0.655,0.0422,0.076,1.76e-06,0.296,0.744
Cuando Me Acerco A Ti,Danny Ocean,0.736,0.543,0.24,0.183,0.0,0.197,0.245
No Te Enamores - Remix,"Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy",0.824,0.837,0.107,0.573,1.66e-05,0.271,0.58
Por Eso Vine,Paulo Londra,0.76,0.646,0.433,0.233,0.0,0.0905,0.625
Te Boté - Remix,"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",0.903,0.675,0.214,0.542,1.28e-05,0.0595,0.442
Desnudarte,"Brytiago,Jay Wheeler",0.863,0.527,0.216,0.377,3.7e-06,0.0946,0.599
Tanta Falta,Bryant Myers,0.856,0.728,0.0916,0.135,1e-06,0.2,0.797
Otro Trago,"Sech,Darell",0.746,0.7,0.341,0.136,0.000159,0.11,0.619
WHISKY A LA ROCA,"Kidd Voodoo,Jere Klein,Swift 047",0.74,0.713,0.0467,0.303,6.82e-06,0.122,0.782
Devuelveme,Ozuna,0.744,0.769,0.156,0.554,6.96e-06,0.102,0.784
Fingías,Paloma Mami,0.729,0.805,0.184,0.19,0.225,0.0909,0.345
Colorín Colorado,Justin Quiles,0.677,0.813,0.187,0.219,0.0,0.18,0.573
Detente,"Mike Bahía,Danny Ocean",0.736,0.585,0.346,0.273,0.0,0.106,0.363
Boomerang,Sech,0.714,0.658,0.0614,0.353,0.00766,0.11,0.61
Me Enteré,"Tiago PZK,TINI",0.595,0.675,0.108,0.121,1.24e-06,0.314,0.612
HP,Maluma,0.837,0.791,0.0773,0.252,1.14e-06,0.188,0.618
Descaro 2.0,"Maisak,Jay Wheeler,Lenny Tavárez,Brytiago",0.742,0.728,0.0935,0.0377,0.0,0.135,0.614
Ibiza,"Ozuna,Romeo Santos",0.69,0.71,0.335,0.25,0.0,0.108,0.726
Esperándote,Manuel Turizo,0.697,0.648,0.128,0.425,0.0,0.191,0.313
Yo Te Lo Dije,J Balvin,0.746,0.617,0.0734,0.0841,0.0,0.21,0.961
All I Want for Christmas Is You,Mariah Carey,0.336,0.627,0.0384,0.164,0.0,0.0708,0.35
Jingle Bell Rock,"Jim Boothe,Joe Beal,Jo Beal,Inge Sunde,Noteservice Wind Ensemble",0.506,0.161,0.0344,0.942,0.941,0.198,0.688
Have Yourself a Merry Little Christmas (feat. Frank Sinatra),"Sol Kaplan,Frank Sinatra",0.208,0.247,0.0313,0.971,0.000137,0.276,0.189
Six Cups of Eggnog,Larry Costa,0.566,0.296,0.0859,0.714,0.0,0.191,0.46
Mistletoe,Justin Bieber,0.658,0.56,0.0467,0.498,0.0,0.0794,0.854
You're a Mean One Mr. Grinch,Valli,0.636,0.365,0.0324,0.57,0.0,0.131,0.555
The Christmas Song,Vince Guaraldi Trio,0.342,0.154,0.039,0.993,0.932,0.103,0.193
Linus and Lucy,"Vince Guaraldi,Ken Bichel,John Miller,Ronnie Zito",0.557,0.174,0.0499,0.646,0.903,0.071,0.619
Last Christmas,Wham!,0.735,0.478,0.0293,0.189,2.48e-06,0.355,0.947
Winter Wonderland - Spotify Singles Holiday,Laufey,0.528,0.281,0.037,0.839,0.0,0.0873,0.514
Please Come Home for Christmas - 2013 Remaster,Eagles,0.612,0.289,0.0421,0.599,0.00266,0.0561,0.466
Santa Baby,"Joan Javits,Philip Springer,Tony Springer,Noteservice Wind Ensemble",0.535,0.154,0.0399,0.818,0.946,0.126,0.533
Yo Perreo Sola,Bad Bunny,0.86,0.758,0.0695,0.021,6.54e-05,0.344,0.453
Candy,Plan B,0.897,0.864,0.147,0.252,0.0,0.517,0.542
Fanática Sensual,Plan B,0.793,0.853,0.0477,0.0937,0.0,0.085,0.906
Propuesta Indecente,Romeo Santos,0.757,0.632,0.0549,0.499,0.0,0.0723,0.742
Tití Me Preguntó,Bad Bunny,0.65,0.715,0.253,0.0993,0.000291,0.126,0.187
Gasolina,Daddy Yankee,0.852,0.797,0.0614,0.322,2.69e-06,0.0845,0.741
Soltera (Remix),"Lunay,Daddy Yankee,Bad Bunny",0.795,0.783,0.0432,0.361,0.0,0.437,0.799
Dile al Amor,Aventura,0.825,0.605,0.0376,0.0764,0.0,0.314,0.944
LOKERA,"Rauw Alejandro,Lyanno,Brray",0.836,0.826,0.0461,0.213,6.03e-06,0.0814,0.579
Niña Bonita,Chino & Nacho,0.676,0.91,0.132,0.257,0.0,0.153,0.716
Rebota,Guaynaa,0.816,0.911,0.255,0.188,0.0,0.498,0.931
"Lo Que Pasó, Pasó",Daddy Yankee,0.816,0.747,0.0411,0.102,0.0,0.263,0.848
Hasta el Amanecer,Nicky Jam,0.837,0.608,0.0381,0.283,0.0,0.0855,0.582
Si Tú La Ves (feat. Wisin),"Nicky Jam,Wisin",0.685,0.731,0.093,0.204,0.0,0.0722,0.786
Safaera,"Bad Bunny,Jowell & Randy,Ñengo Flow",0.607,0.829,0.379,0.0103,0.0,0.107,0.685
Callaita,"Bad Bunny,Tainy",0.61,0.624,0.309,0.6,2.12e-06,0.243,0.244
Si No Le Contesto,Plan B,0.846,0.747,0.0533,0.0947,0.0,0.159,0.517
Moscow Mule,Bad Bunny,0.804,0.674,0.0333,0.294,1.18e-06,0.115,0.292
Efecto,Bad Bunny,0.801,0.475,0.0516,0.141,1.73e-05,0.0639,0.234
Bichiyal,"Bad Bunny,Yaviah",0.737,0.766,0.0458,0.31,6.63e-06,0.114,0.662
Todo De Ti,Rauw Alejandro,0.78,0.718,0.0506,0.31,0.000163,0.0932,0.342
Pepas,Farruko,0.762,0.766,0.0343,0.00776,6.98e-05,0.128,0.442
DÁKITI,"Bad Bunny,JHAYCO",0.731,0.573,0.0544,0.401,5.22e-05,0.113,0.145
Después de la Playa,Bad Bunny,0.564,0.903,0.307,0.356,0.0,0.175,0.607
La Mamá de la Mamá (feat. El Cherry Scom),"El Alfa,CJ,Chael Produciendo,El Cherry Scom",0.922,0.927,0.105,0.283,0.00331,0.719,0.796
Sin Frenos,"Eladio Carrion,Bizarrap,Duki",0.657,0.702,0.0482,0.0723,0.0,0.188,0.75
Atrévete-Te-Te,Calle 13,0.829,0.878,0.101,0.0959,0.0,0.776,0.883
Adiós Amor,Christian Nodal,0.433,0.431,0.0367,0.169,0.0,0.307,0.722
Loba,Shakira,0.853,0.706,0.0451,0.403,0.046,0.0751,0.778
Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean",0.778,0.824,0.0707,0.284,0.0,0.405,0.758
Suavemente,Elvis Crespo,0.809,0.883,0.0689,0.238,0.00234,0.0625,0.918
Tusa,"KAROL G,Nicki Minaj",0.803,0.715,0.298,0.295,0.000134,0.0574,0.574
Con Altura,"ROSALÍA,J Balvin,El Guincho",0.882,0.689,0.124,0.39,0.00325,0.0501,0.746
Que Calor,"Major Lazer,J Balvin,El Alfa",0.795,0.885,0.0713,0.0375,0.00638,0.292,0.46
Calma - Remix,"Pedro Capó,Farruko",0.826,0.773,0.0524,0.323,0.0,0.143,0.761
Darte un Beso,Prince Royce,0.757,0.711,0.0349,0.36,0.0,0.121,0.817
Techno Cumbia,Selena,0.661,0.619,0.0757,0.543,0.0,0.0883,0.952
Tiburon,Proyecto Uno,0.868,0.852,0.0474,0.198,5.3e-05,0.0502,0.907
Mayores,"Becky G,Bad Bunny",0.746,0.836,0.0445,0.145,0.00291,0.116,0.874
Obsesion,"Aventura,Judy Santos",0.804,0.56,0.0397,0.416,0.0,0.0608,0.768
Downtown,"Anitta,J Balvin",0.775,0.679,0.135,0.18,7.26e-05,0.068,0.619
Sin Pijama,"Becky G,NATTI NATASHA",0.788,0.745,0.0447,0.352,4e-05,0.0973,0.79
La Bomba,Azul Azul,0.923,0.768,0.0674,0.119,0.0,0.0689,0.96
Aguanile,Marc Anthony,0.623,0.785,0.052,0.0834,1.18e-05,0.0604,0.678
Llorarás,"Dimension Latina,Oscar D'León",0.704,0.884,0.0527,0.549,0.000364,0.0492,0.964
El Día De Mi Suerte,"Willie Colón,Héctor Lavoe",0.56,0.855,0.0529,0.605,0.0,0.0532,0.96
El Incomprendido,"Farruko,Victor Cardenas,Dj Adoni",0.754,0.841,0.135,0.113,0.0,0.466,0.541
Bailando - Spanish Version,"Enrique Iglesias,Descemer Bueno,Gente De Zona",0.723,0.777,0.108,0.0426,3.68e-06,0.0451,0.961
Cumbia Sampuesana,Aniceto Molina,0.756,0.671,0.0993,0.0346,0.0204,0.0225,0.967
Limbo,Daddy Yankee,0.807,0.874,0.0888,0.0833,0.00184,0.065,0.919
Me Porto Bonito,"Bad Bunny,Chencho Corleone",0.911,0.712,0.0817,0.0901,2.68e-05,0.0933,0.425
Cali Pachanguero,Grupo Niche,0.684,0.832,0.041,0.583,0.0,0.226,0.715
Bella y Sensual,"Romeo Santos,Daddy Yankee,Nicky Jam",0.635,0.713,0.0937,0.228,0.0,0.0506,0.749
"Oiga, Mire, Vea",Guayacán Orquesta,0.634,0.779,0.0478,0.44,0.0,0.05,0.854
Con Calma,"Daddy Yankee,Snow",0.737,0.86,0.0593,0.11,1.94e-06,0.0574,0.656
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake,J Balvin,Tyga",0.827,0.757,0.0564,0.283,1.56e-06,0.102,0.374
MIA (feat. Drake),"Bad Bunny,Drake",0.817,0.539,0.0621,0.0141,0.000496,0.099,0.158
Mi Gente,"J Balvin,Willy William",0.548,0.703,0.0772,0.0168,2.38e-05,0.143,0.286
Hawái,Maluma,0.787,0.728,0.389,0.189,2.29e-05,0.0629,0.545
PROVENZA,KAROL G,0.87,0.516,0.0541,0.656,0.00823,0.11,0.53
Suave,El Alfa,0.85,0.835,0.0501,0.163,0.543,0.207,0.401
BIZCOCHITO,ROSALÍA,0.93,0.774,0.0744,0.605,0.0238,0.12,0.781
MAMIII,"Becky G,KAROL G",0.843,0.7,0.0803,0.0934,0.0,0.14,0.899
Envolver,Anitta,0.812,0.736,0.0833,0.152,0.00254,0.0914,0.396
Baila Baila Baila - Remix,"Ozuna,Daddy Yankee,J Balvin,Farruko,Anuel AA",0.785,0.572,0.123,0.0598,0.0,0.218,0.49
Ella Me Levanto,Daddy Yankee,0.76,0.9,0.0668,0.0715,0.0,0.221,0.761
Salió El Sol,Don Omar,0.887,0.701,0.0872,0.106,0.00948,0.0466,0.965
QUE PRETENDES,"J Balvin,Bad Bunny",0.639,0.791,0.254,0.0275,0.0,0.362,0.933
BOMBÓN,"Daddy Yankee,El Alfa,Lil Jon",0.843,0.789,0.247,0.0028,2.41e-05,0.0322,0.571
