title,artist,song,similar_lyrics,similar_track,similar_artist
Dia Azul,Teto,Dia Azul by Teto,"13 ContributorsManha Lyrics[Letra de ""Manha""]

[Intro]
Ayy, ahn, uh
Ayy, ahn, uh
Ayy, ahn, uh
Ayy, ahn, uh
Ayy, ahn, uh
Woah-ahn, woah-ahn
Woah, pull-up, uh
Woah-ahn (Gibbo)
Woah-ahn (Ferno spazzin' on this muh'fucka)
Wow-u-uh...

[Refrão]
Tenho a manha de fazer dinheiro (Uh)
Pega o beck e passa o isqueiro (Uh)
Vários corpos no bueiro (Ah)
'Tô chapado o dia inteiro (Ahn, ahn, oh, ahn)
Rolê de gangue na van
Ligo pro meu plug Dans (Ahn, ahn)
Faz o corre da maçã
Invejoso é meu fã
Tenho a manha de fazer dinheiro (Uh)
Pega o beck e passa o isqueiro (Uh)
Vários corpos no bueiro (Ah)
'Tô chapado o dia inteiro (Ahn, ahn, oh, ahn)
Rolê de gangue na van
Ligo pro meu plug Dans (Ahn, ahn)
Faz o corre da massa
Invejoso é meu fã


[Verso 1]
Eu carrego a minha city
Na minha bag eu boto a minha city
Salve my block, biggie
Meus nêgos tudo são gang shit (Wow, yeah)
Guardo meu guap debaixo da mesa
Sе eu for dar fuga, eu chamo a Vanessa
Os cana rеvira de ponta-cabeça
Não pega nada porque nós não é besta (Wow)
Tenho uma Uzi que me espera quando 'tá com sede (Wow, wow)
Ela ama me chupar na Jacuzzi ou na Mercedes
Sessão de estúdio com meus nêgo, é só sossego
No interlúdio é nítido que eu sei fazer dinheiro

[Interlúdio]
Vi muitos querendo me derrubar
Meu brilho ninguém nunca vai ofuscar
Nasci predestinado a ganhar
Foco é ficar rico e nunca mais parar

[Refrão]
Tenho a manha de fazer dinheiro (Uh)
Pega o beck e passa o isqueiro (Uh)
Vários corpos no bueiro (Ah)
'Tô chapado o dia inteiro (Ahn, ahn, oh, ahn)
Rolê de gangue na van
Ligo pro meu plug Dans (Ahn, ahn)
Faz o corre da massa
Invejoso é meu fã
Tenho a manha de fazer dinheiro (Uh)
Pega o beck e passa o isqueiro (Uh)
Vários corpos no bueiro (Ah)
'Tô chapado o dia inteiro (Ahn, ahn, oh, ahn)
Rolê de gangue na van
Ligo pro meu plug Dans (Ahn, ahn)
Faz o corre da maçã
Invejoso é meu fã


[Verso 2]
De conversível
Matei meu lado sensível
Com essa SVU
Eu me sinto em outro nível, ahn
Essa bitch quer a senha do Visa
Mostro meu dedo, foda-se a policia
Nesse jogo, sou o rei da malicia
Tenta pra tu ver, minha Glock te bica

[Interlúdio]
Vi muitos querendo me derrubar
Meu brilho ninguém nunca vai ofuscar
Nasci predestinado a ganhar
Foco é ficar rico nunca mais parar

[Refrão]
Tenho a manha de fazer dinheiro (Uh)
Pega o beck e passa o isqueiro (Uh)
Vários corpos no bueiro (Ah)
'Tô chapado o dia inteiro (Ahn, ahn, oh, ahn)
Rolê de gangue na van
Ligo pro meu plug Dans (Ahn, ahn)
Faz o corre da maçã
Invejoso é meu fã
Tenho a manha de fazer dinheiro (Uh)
Pega o beck e passa o isqueiro (Uh)
Vários corpos no bueiro (Ah)
'Tô chapado o dia inteiro (Ahn, ahn, oh, ahn)
Rolê de gangue na van
Ligo pro meu plug Dans (Ahn, ahn)
Faz o corre da massa
Invejoso é meu fã",Manha,Teto
Balada - Ao Vivo,Gusttavo Lima,Balada - Ao Vivo by Gusttavo Lima,"3 ContributorsAquela Pessoa (Ao Vivo) LyricsVocê também tem que eu sei
Aquela pessoa, não adianta negar
Que tem passe livre
Carta branca na sua vida para ir e voltar
Quando quiser, nunca vai deixar de ser o que é

Todo mundo tem uma pessoa, aquela pessoa
Que te faz esquecer todas as outras

Todo mundo tem uma pessoa, aquela pessoa
Não precisa dia e nem hora pra chegar
Na portaria do meu coração já tem seu nome
Pode entrar",Aquela Pessoa - Ao Vivo,Henrique & Juliano
ABALO EMOCIONAL - Ao Vivo,Luan Santana,ABALO EMOCIONAL - Ao Vivo by Luan Santana,"2 ContributorsSOLTEIROU (Ao Vivo) Lyrics[Letra de ""SOLTEIROU"" com Luan Santana]

[Verso]
'Cê acha que eu não sei que você tá
Acompanhando a minha vida toda nesse celular
Amor, tu vai rodar
Tuas amigas tão mandando direct sem parar
""Cê terminou, foi?""
""Cê solteirou, foi?""
""Achava que dava tão certo vocês dois""
Uma quer sair, a outra quer jantar
E a orgulhosa pensando se quer voltar

[Refrão]
Se tu não pegar
Suas amigas vão pegar
Se tu não beijar
Já tem fila pra beijar no teu lugar
Se tu não pegar
Suas amigas vão pegar
Se tu não beijar
Já tem fila pra beijar no teu lugar

[Verso]
'Cê acha que eu não sei que você tá
Acompanhando a minha vida toda nesse celular
Amor, tu vai rodar
Tuas amigas tão mandando direct sem parar
""Cê terminou, foi?""
""Cê solteirou, foi?""
""Achava que dava tão certo vocês dois""
Uma quer sair, a outra quer jantar
E a orgulhosa pensando se quer voltar


[Refrão]
Se tu não pegar
Suas amigas vão pegar
Se tu não beijar
Já tem fila pra beijar no teu lugar
Se tu não pegar
Suas amigas vão pegar
Se tu não beijar
Já tem fila pra beijar no teu lugar

[Verso]
""Cê terminou, foi?""
""Cê solteirou, foi?""
""Achava que dava tão certo vocês dois""
Uma quer sair, a outra quer jantar
E a orgulhosa pensando se quer voltar

[Refrão]
Se tu não pegar
Suas amigas vão pegar
Se tu não beijar
Já tem fila pra beijar no teu lugar
Se tu não pegar
Suas amigas vão pegar
Se tu não beijar
Já tem fila pra beijar no teu lugar",SOLTEIROU - Ao Vivo,Luan Santana
Bloqueado - Ao Vivo,Gusttavo Lima,Bloqueado - Ao Vivo by Gusttavo Lima,"1 ContributorSaudade da Minha Vida (Ao Vivo) Lyrics[Letra de ""Saudade da Minha Vida (Ao Vivo)"" com Gusttavo Lima]

[Intro]
O Embaixador
(Apenas diferente)

[Verso 1]
Olha quem chegou, já tá com alguém
Ontem terminou, chorou, falou que não tava bem
Sei, sua intenção é me fazer sofrer
Pisa no nervo, bota pra moer
Mas deixa eu te falar
(Bota a mão pra cima, São Paulo, geral, vai, vai)

[Refrão]
Ô saudade que eu tava, da minha vida
Da vida de cachorrada, da vida de putaria
Saudade que eu tava, da minha vida
Da vida de cachorrada, da vida de putaria

[Verso 2]
Por falar em putaria, tô aqui fazendo uma
Na minha mesa, tem a loira, a morena e a ruiva
Hoje não sou eu que escolho, elas quе estão me escolhеndo
Pela cara da minha ex, a deprê já tá batendo


[Refrão]
Ô saudade que eu tava, da minha vida
Da vida de cachorrada, da vida de putaria

[Ponte]
O Embaixador
O Embaixador

[Verso 1]
Olha quem chegou, já tá com alguém
Ontem terminou, chorou, falou que não tava bem
Sei, sua intenção é me fazer sofrer
Pisa no nervo, bota pra moer
Mas deixa eu te dizer

[Refrão]
Ô saudade que eu tava, da minha vida
Da vida de cachorrada, da vida de putaria
Saudade que eu tava, da minha vida
Da vida de cachorrada, da vida de putaria

[Verso 2]
Por falar em putaria, tô aqui fazendo uma
Na minha mesa, tem a loira, a morena e a ruiva
Hoje não sou eu que escolho, elas que estão me escolhendo
Pela cara da minha ex, a deprê já tá batendo


[Refrão]
Ô saudade que eu tava, da minha vida
Da vida de cachorrada, da vida de putaria

[Saída]
Da vida de cachorrada, da vida de putaria",Saudade da Minha Vida - Ao Vivo,Gusttavo Lima
Simplesmente Ela,Mc Gabzin,Simplesmente Ela by Mc Gabzin,"3 ContributorsBaile no Morro Lyrics[Letra de ""Baile no Morro""]

[Intro: MC Tairon]
É o Win que lançou

[Verso 1: MC Tairon]
Tanta coisa pra acontecer de novo
Acho que me perdi nesse teu jogo
E não tem como nem voltar atrás
E pra mim tanto faz, e pra mim tanto

[Refrão: MC Tairon]
Vou voltar a curtir o baile no morro
Ela sabe que eu sou do bagulho doido
Se interessa quando vê a peça do moço
Vem jogando e vem sarrando em mim gostoso, gostoso
Vou voltar a curtir o baile no morro
Ela sabe que eu sou do bagulho doido
Se interessa quando vê a peça do moço
Vem jogando e vem sarrando em mim gostoso, gostoso

[Verso 2: MC Vitin da Igrejinha]
Ahn, então vai!
Que ela terminou comigo, falou: Seguе sua vida, Vitin
Que eu não vou te incomodar, tu tеm 18, é muito novin'
Eu falei: Então pode pá, mundão vai girar devagarzin'
Na melhor, nós se trombar no open bar, desses por aí
E eu vou tá solto sim, hidromassagem nós tá quentin'
Vá-várias tchuquinha dançando, jogando o bundão pra mim
Uísque e Redbull no copo, coração tá igual gelin'
E o PayPal cuspindo dólar no bolso do DJ Win
Então faz assim, vai, joga a xereca ni mim
Que eu tô safadão, coração gelado e sem carin'
Faz assim, vai, joga a xereca ni mim
Que eu tô safadão, coração gelado e sem carinho


[Refrão: MC Tairon]
Vou voltar a curtir o baile no morro
Ela sabe que eu sou do bagulho doido
Se interessa quando vê a peça do moço
Vem jogando e vem sarrando em mim gostoso, gostoso
Vou voltar a curtir o baile no morro
Ela sabe que eu sou do bagulho doido
Se interessa quando vê a peça do moço
Vem jogando e vem sarrando em mim gostoso, gostoso

[Saída: MC Tairon]
Lará-rará",Baile no Morro,MC Tairon
"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,"Quem Pegou, Pegou - Ao Vivo by Henrique & Juliano","2 ContributorsVolta Por Baixo (Ao Vivo) Lyrics[Letra de ""Volta Por Baixo"" com Henrique e Juliano]

[Verso]
Parece que você não tá beijando como queria beijar
Não tá aproveitando como achou que iria aproveitar
Porque tá me pedindo pra voltar
E aí, compensou me largar?

[Pré-Refrão]
Cadê suas amizades?
Os seus esqueminhas?
Que você falava e falava que tinha
É isso que 'cê chama de volta por cima?

[Refrão]
'Cê deu foi volta por baixo, amor
Cadê o melhor que eu que você arrumou?
Cadê o melhor que eu que você arrumou?
Rodou, não achou
'Cê deu foi volta por baixo, amor
Cadê o melhor que eu que você arrumou?
Cadê o melhor que eu que você arrumou?
Rodou, não achou, voltou

[Pré-refrão]
Cadê suas amizades?
Os seus esqueminhas?
Que você falava e falava que tinha
É isso que 'cê chama de volta por cima?


[Refrão]
'Cê deu foi volta por baixo, amor
Cadê o melhor que eu que você arrumou?
Cadê o melhor que eu que você arrumou?
Rodou, não achou
'Cê deu foi volta por baixo, amor
Cadê o melhor que eu que você arrumou?
Cadê o melhor que eu que você arrumou?
Rodou não achou, voltou
'Cê deu foi volta por baixo, amor
Cadê o melhor que eu que você arrumou?
Cadê o melhor que eu que você arrumou?
Rodou, não achou
'Cê deu foi volta por baixo, amor
Cadê o melhor que eu que você arrumou?
Cadê o melhor que eu que você arrumou?
Rodou, não achou, voltou",Volta Por Baixo - Ao Vivo,Henrique & Juliano
Na Ponta do Pé 2,Mc Livinho,Na Ponta do Pé 2 by Mc Livinho,"2 ContributorsHoje Eu Vou Parar Na Gaiola Lyrics[Letra de ""Hoje Eu Vou Parar Na Gaiola""]

[Intro]
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu

[Verso]
Hoje no baile da Penha, o que vai rolar?
Só putaria pra essas menina' dançar
Os amigos já tão cada um com a sua missão
Traz o lança que eu já tô com o meu copão na mão

[Refrão]
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma, sua gostosa
Toma, toma, toma, toma, toma, sua gostosa
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma, sua gostosa
Toma, toma, toma, toma, toma, sua gostosa


[Pós-Refrão]
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu

[Verso]
Hoje—hoje—hoje no baile da Penha, o que vai rolar?
Só putaria pra essas menina’ dançar
Os amigos já tão cada um com a sua missão
Traz o lança que eu já tô com o meu copão na mão

[Refrão]
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma, sua gostosa
Toma, toma, toma, toma, toma, sua gostosa
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma, sua gostosa
Toma, toma, toma, toma, toma, sua gostosa",Hoje Eu Vou Parar Na Gaiola,MC Livinho
Na Ponta Ela Fica,Delano,Na Ponta Ela Fica by Delano,"2 ContributorsToda Toda Lyrics[Letra de ""Toda Toda"" por Pikeno e Menor]

Mas quem pensou que ela tava depressiva em casa
Só porque o namorado terminou com ela
Que ela só pensava em chorar, muito errado você tá
E a partir desse momento a cena é toda dela
Foi pra noite, perdeu a linha
Funkeira de carteirinha
E tudo que ela faz, as invejosa imita
Tá solteira, mas não sozinha
Não vai ser mais boazinha
Dentro do seu coração não entra mais visita
Se ele disse que não te quer
Que bagacinho tu é
É mentira, tu foi feita na medida certa
Então abre o olho, mulher
Vê quanto cara te quer
E quando tu passa, deixa nós de boca aberta

[Coro]
Mas ela é toda toda
Ela é toda toda
Toda top, toda linda, leve e solta
E quer mais que você se exploda
Ela é toda toda
Chora muito agora que ela tá em outra
Mas ela é toda toda
Ela é toda toda
Toda top, toda linda, leve e solta
E quer mais que você se exploda
Ela é toda toda
Chora muito agora que ela tá em outra


Mas pensou que ela tava depressiva em casa
Só porque o namorado terminou com ela
Que ela só pensava em chorar, muito errado você tá
E a partir desse momento a cena é toda dela
Foi pra noite, perdeu a linha
Funkeira de carteirinha
E tudo que ela faz, as invejosa imita
Tá solteira, mas não sozinha
Não vai ser mais boazinha
Dentro do seu coração não entra mais visita
Se ele disse que não te quer
Que bagacinho tu é
É mentira, tu foi feita na medida certa
Então abre o olho, mulher
Vê quanto cara te quer
E quando tu passa, deixa nós de boca aberta

[Coro]
Mas ela é toda toda
Ela é toda toda
Toda top, toda linda, leve e solta
E quer mais que você se exploda
Ela é toda toda
Chora muito agora que ela tá em outra
Mas ela é toda toda
Ela é toda toda
Toda top, toda linda, leve e solta
E quer mais que você se exploda
Ela é toda toda
Chora muito agora que ela tá em outra",Toda toda,Pikeno & Menor
Cadeado,Pabllo Vittar,Cadeado by Pabllo Vittar,"7 ContributorsTranslationsEnglishNoitada INTRO Lyrics[Letra de ""Noitada INTRO""]

[Intro]
Eu sou da noite
Eu pertenço à noite
Eu pertenço à noite assim como eu pertenço a você
Eu pensei muito antes de vir
E agora que eu tô aqui, eu não vou desistir
Noi-ta-da",Noitada INTRO,Pabllo Vittar
Frio,WIU,Frio by WIU,"7 ContributorsAvião no Céu Lyrics[Letra de ""Avião no Céu"" com WIU]

[Verso 1]
Sei que eles falam muito de mim, mas talvez não deviam
Dou o melhor de mim, porque é em mim que eles confiam
Mas eu vim de longe para calar de um por um
Qualquer boca que já me disse um não
Tô sozinho não
Então pega a visão
Vontade de ser rico tem, mentalidade do além
Eu sonhei com isso e foi tão bom
Esperei por isso, mano, so long
Eles me dizem que eu mudei, talvez só não de vida ainda
Guarda essa palavra “ainda”, porquе eu vou mudar
Imagina, nós de jaguar, olha que coisa linda

[Refrão]
Quando еu pousar e descer daqui
Será que eu vou ser o melhor pra mim?
O tempo passou e nada mudou aqui dentro
Passou um avião no céu, 'cê insistiu em olhar
Primeira Classe, mas se 'cê pensasse ia se ligar quem é que tá lá
Eu e meu bonde, correndo e voando é o mesmo motivo, no mesmo lugar
Só o olhar da minha cara já fica estampado que nada pode me parar

[Verso 2]
Cinco da manhã, eu indo correr atrás da grana e minha mãe pergunta: Vai pra onde?
Pode ter calma mãe, não vou pra longe
O teu pivete hoje é um homem, vou botar carro e casa no seu nome
Mãe, não fala isso pra mim, sei desde pequeninin’ que ela já falava
Meu filho, riqueza não te dará o reino dos céu
Cuidado com a palavra, a ideia transformada numa atitude boa, foi bem utilizada
Espero que me traga proteção de bala, força e muita garra e vitória na batalha
Quando eu peço à Deus, ele nunca falha
Busco o que me aguarda, eu não jogo a toalha
Hoje geral quer colar e jogar no meu time, só quem passou sede comigo vai poder tomar um gole do meu whisky
Você falou que eu não ia vencer, eu cheguei e venci
'Cê não disse?
Então, quando eu tiver nos ares, mano, me faça esse favor, não me ligue


[Refrão]
Quando eu pousar e descer daqui
Será que eu vou ser o melhor pra mim?
O tempo passou e nada mudou aqui dentro

Quando eu pousar e descer daqui
Será que eu vou ser o melhor pra mim?
O tempo passou e nada mudou aqui dentro

[Saída]
Passou um avião no céu, 'cê insistiu em olhar
Primeira Classe, mas se 'cê pensasse ia se ligar quem é que tá lá
Eu e meu bonde, correndo e voando é o mesmo motivo, no mesmo lugar
Só o olhar da minha cara já fica estampado que nada pode me parar",Avião no Céu,WIU
Esquece Pt. 2,WIU,Esquece Pt. 2 by WIU,"7 ContributorsAvião no Céu Lyrics[Letra de ""Avião no Céu"" com WIU]

[Verso 1]
Sei que eles falam muito de mim, mas talvez não deviam
Dou o melhor de mim, porque é em mim que eles confiam
Mas eu vim de longe para calar de um por um
Qualquer boca que já me disse um não
Tô sozinho não
Então pega a visão
Vontade de ser rico tem, mentalidade do além
Eu sonhei com isso e foi tão bom
Esperei por isso, mano, so long
Eles me dizem que eu mudei, talvez só não de vida ainda
Guarda essa palavra “ainda”, porquе eu vou mudar
Imagina, nós de jaguar, olha que coisa linda

[Refrão]
Quando еu pousar e descer daqui
Será que eu vou ser o melhor pra mim?
O tempo passou e nada mudou aqui dentro
Passou um avião no céu, 'cê insistiu em olhar
Primeira Classe, mas se 'cê pensasse ia se ligar quem é que tá lá
Eu e meu bonde, correndo e voando é o mesmo motivo, no mesmo lugar
Só o olhar da minha cara já fica estampado que nada pode me parar

[Verso 2]
Cinco da manhã, eu indo correr atrás da grana e minha mãe pergunta: Vai pra onde?
Pode ter calma mãe, não vou pra longe
O teu pivete hoje é um homem, vou botar carro e casa no seu nome
Mãe, não fala isso pra mim, sei desde pequeninin’ que ela já falava
Meu filho, riqueza não te dará o reino dos céu
Cuidado com a palavra, a ideia transformada numa atitude boa, foi bem utilizada
Espero que me traga proteção de bala, força e muita garra e vitória na batalha
Quando eu peço à Deus, ele nunca falha
Busco o que me aguarda, eu não jogo a toalha
Hoje geral quer colar e jogar no meu time, só quem passou sede comigo vai poder tomar um gole do meu whisky
Você falou que eu não ia vencer, eu cheguei e venci
'Cê não disse?
Então, quando eu tiver nos ares, mano, me faça esse favor, não me ligue


[Refrão]
Quando eu pousar e descer daqui
Será que eu vou ser o melhor pra mim?
O tempo passou e nada mudou aqui dentro

Quando eu pousar e descer daqui
Será que eu vou ser o melhor pra mim?
O tempo passou e nada mudou aqui dentro

[Saída]
Passou um avião no céu, 'cê insistiu em olhar
Primeira Classe, mas se 'cê pensasse ia se ligar quem é que tá lá
Eu e meu bonde, correndo e voando é o mesmo motivo, no mesmo lugar
Só o olhar da minha cara já fica estampado que nada pode me parar",Avião no Céu,WIU
Angelina,WIU,Angelina by WIU,"10 ContributorsEsquece Pt. 2 Lyrics[Letra de ""Esquece Pt. 2"" com WIU]

[Refrão]
Alô, tudo bem? Tentei te ligar
'Cê parecia meio tensa, querendo desestressar
Se quiser a gente pode sair, se divertir em outro lugar
Não sou a melhor companhia
Mas sei que não vai recusar (Uh, uh, uh)
Se solta, sorria, esqueça da vida lá fora sem graça
Sem graça, sem graça
Sem graça, sem graça, (Sem, sem), sem graça
Sem graça, (Sem, sem), sem graça, ahn, ayy, ahn

[Verso 1]
Torrando toda grana que chegar pra gentе (Chegar pra gente)
Contando as nota е soltando fumaça quente (Yeah)
Nós nem sorria, hoje é 18k no dente (18k)
600 cavalo, é melhor não ficar na frente, ahn
Mas quem diria que um dia a mochila rasgada ia virar um Jaguar, ahn
O mundo gira, graças a Deus, hoje é liberdade pra gastar, ahn
Bota na conta do pai que não vai ter problema (Ahn)
Minha vida, um filme, hoje eu vivo num filme, coisa de cinema (Woah)

[Refrão]
Alô, tudo bem? Tentei te ligar
'Cê parecia meio tensa, querendo desestressar
Se quiser a gente pode sair, se divertir em outro lugar
Não sou a melhor companhia
Mas sei que não vai recusar (Uh, uh, uh)
Se solta, sorria, esqueça da vida lá fora sem graça
Sem graça, sem graça
Sem graça, sem graça, (Sem, sem), sem graça
Sem graça, (Sem, sem), sem graça, (Ayy)


[Verso 2]
Hoje quem me aponta o dedo, meu segurança lida com isso
Fiquei rico cedo, muito chique
Quando ela tira a calcinha da Fendi
Transa como se a cama fosse o inferno
Ela de quatro é um monumento
Uma maravilha do mundo moderno
Ahn, ahn, u-uh, woah, ela gemendo é melhor que qualquer sinfonia
Beethoven nem tava ligado, foda que esse vício bobo
Que eu tenho na bunda dela é o que me custa caro (Ahn)
Nunca vou morrer de amor, sigo de bolso lotado

[Saída]
Yeah, yeah
Yeah, yeah, yeah
Nunca vou morrer de amor, sigo de bolso lotado, yeah
Eu só quero forrar minha bag
Nunca vou morrer de amor, nunca vou morrer de amor
Sigo de bolso lotado",Esquece Pt. 2,WIU
Moça,Ivandro,Moça by Ivandro,"2 ContributorsLua Lyrics[Letra de ""Lua""]

[Refrão]
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje

[Verso 1]
'Tou no cubico, shawty
Mais tarde eu vou no corre qualquer coisa call me
Eu quero encher o bolso até mesmo ficar rico
Fazes parte do plano enriquece então comigo
Mais uma luta, não é nada, a nossa ligação não muda
Eu quero Prada, quero Gucci p’ra minha miúda
Porque esta inspiração também é tua culpa
Apaga a luz, acende as velas
Fazer um clima tipo novela
Ela é só minha, еu sou dela

[Refrão]
Deixa levar-tе à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje


[Verso 2]
Só conversando, não matamos a saudade
Sei que ‘tás cansada mas eu vou recompensar-te
Deixei-te pendurada, chego de madrugada
Tu dormes melhor comigo a fazer de almofada
Nunca vou esquecer as coisas que vivi contigo
Falo da nossa história, o nosso amor é tão bonito
Corremos atrás de sonhos, quero que fiques comigo
Minha cara metade, sei que ao teu lado consigo
Mais uma luta, não é nada, a nossa ligação não muda
Eu quero Prada, quero Gucci p’ra ti miúda
Porque esta inspiração também é tua culpa
Apaga a luz, acende as velas
Fazer um clima tipo novela
Ela é só minha, eu sou dela

[Refrão]
Deixa levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-te à lua hoje",Lua,Ivandro
085 - Ao Vivo,Rogerinho,085 - Ao Vivo by Rogerinho,"1 ContributorFurduncinho do Rogerinho LyricsOh, DJ
Aumenta o som aí
Vai começar
Furduncin' do Rogerin
Perdido na putaria
Com várias bebezinha
Fazendo sacanagem louca
Perdido na cachorrada
Só cerveja gelada
Não tô valendo nada, então joga
Oh, balançando
Balança, balança esse popô
Então joga esse popô, bebê
Joga esse popô, neném
Joga esse popô, ai, ai, ai, ai
Joga esse popô, bebê
Joga esse popô, neném
Joga esse popô, ai, ai, ai, ai
O furduncin' do Rogerin
Que vai fazer balançar
O furduncin' do Rogerin
Que vai fazer balançar
E ela pode, pode, pode sentar
E ela pode, pode, pode sentar
Oh, DJ, oh, DJ
Quando eu contar de um até três
Elas vão jogar
Um, dois, três, joga
Só balançando, balançando
Balançando o popô
Só balançando, balançando
Balançando o popô
Só balançando, balança
Balance o popô
Só balançando, balançando
Vai, vai, vai, vai, vai, vai
Oh, morena gostosa do 085
Tu vai sentar pro puto
Ou vai sentar pro putinho?
Loira gostosa do 085
Vai sentar pro puto
Ou vai sentar pro...
Dou tapão nessa sua bunda, dou
Dou tapão na bunda, dou
Dou tapão na bunda, vai
Dou tapão nessa sua bunda, dou
Dou tapão na bunda, dou
Dou tapão na bunda
Dou tapão na bunda
Eu já tô preparado, beque bolado
Tênis da Nike e um cordão
Coloquei o melhor perfume pra você, bebê
O pai tá bonitão
O pai tá cheirosão
O pai tá bonitão
O pai tá cheirosão
E hoje eu só taco, taco, taco
Na novinha do bundão
Hoje eu só taco, taco, taco
Na novinha do bu...
Hoje eu só taco, taco, taco
Na novinha do bun...
Hoje eu só taco, taco, taco
Na novinha do...
Hoje eu só taco, taco
Nesse bundão
Hoje eu só taco, taco
No seu bundão, bebê
Taco, taco
Nesse bundão
Hoje eu só taco, taco
Nesse bundão
Furduncin' do Rogerin
Meu parceiro, Max Loud CDs
Buji do Cavado, o alagoano estourado
DJ Denilson",Furduncinho do Rogerinho,Rogerinho
zumzumzum,Teto,zumzumzum by Teto,"9 ContributorsDia Azul Lyrics[Letra de ""Dia Azul""]

[Intro]
Ahn, ahn, ahn
Ahn, ahn
Ahn, ahn, ahn
Ahn, ahn
Ahn, ahn, ahn, ahn
Ahn, ahn
Ahn, ahn (Ahn)

[Pré-Refrão]
Um dia azul, tenho um sonho
Ir pra Cancún, viver longe
De todo mal dessa gente
Plantar um pé, colher e ser feliz (Uh, uh, uh)
Hoje eu tenho andado bem distante (Yeah)
Dessa vida solta, dez mil na roupa (Oh, oh, oh)
Vinte na bolsa (Uh, uh)
Pra minha moça, deixo ela solta (Uh, uh, uh, uh)

[Refrão]
Um dia azul, a maré blue
Com a minha madame Excalibur
Por ela eu viajo pro Sul
Um dia azul, a maré blue
Quem vigia não dorme, Prometazina dopa
Minha mente fica lenta dropando esse doce (Wow, wow, wow)


[Verso]
Antes não era nada e hoje eu sou alguém (Oh, oh, oh)
Enterro cinquеnta e empilho de cеm (Oh, oh, oh, oh)
Com dinheiro no bolso, eu fico bem
Já disse que eu vim da roça, neném
Não sou mais um, tenho fama
Meu bolso inchado, muita grana
Meus irmãozin' 'tá na trama
Ando sem tempo p'ra cama
Luz no pescoço, sente esse gosto
Não sei o que passa na minha cabeça (Oh)
Parei num posto p'ra abastecer minhas ideias, por favor, esclareça
Empilho montes nas minhas racks
Quero voar com esse jet pack
Me sentir mais livre, me sentir mais leve
Matando essa vibe, derrubando um Jack
Obrigado, Deus, pelos meus irmão
Obrigado pelos que é de coração
Essa música não só é uma canção
Levo p'ra minha mente como uma oração

[Refrão]
Um dia azul, a maré blue
Com a minha madame Excalibur
Por ela eu viajo pro Sul
Um dia azul, a maré blue
Quem vigia não dorme, Prometazina dopa
Minha mente fica lenta dropando esse doce (Wow, wow, wow)


[Saída]
Ahn, ahn, ahn, ahn, ahn, ahn, ahn, ahn
Ahn, ahn, ahn, ahn, ahn
Ahn, ahn, ahn, ahn, ahn, ahn
Ahn, ahn, ahn, ahn, ahn",Dia Azul,Teto
FUNK DO BOUNCE (Slowed),Ariis,FUNK DO BOUNCE (Slowed) by Ariis,"16 ContributorsTranslationsEnglishItalianoFUNK DO BOUNCE Lyrics[Letra de ""FUNK DO BOUNCE""]

[Coro]
Y pensaron que me iba a caer, pero no (Pero no)
De su mala vibra a mí me protegió (Protegió)
Y por más que metieron el pie, no alcanzó (No alcanzó)
Porque igual maté la liga y al final se me dio

[Post-Coro]
Vou-vou empurrar-ar
Vou-vou empurrar-ar
Pero no (Pero no)
Vou-vou empurrar-ar
Vou-vou empurrar-ar

[Coro]
Y pensaron que me iba a caer, pero no
De su mala vibra a mí me protegió

[Post-Coro]
Vou-vou empurrar-ar
Vou-vou empurrar-ar",FUNK DO BOUNCE,ariis
